English,Turkish
time,zaman
year,yıl
people,insanlar
way,yol
day,gun
man,adam
thing,şey
woman,kadin
life,hayat
child,cocuk
world,dunya
school,okul
state,durum
family,aile
student,ogrenci
group,grup
country,ulke
problem,problem
hand,el
part,parça
place,yer
case,dava
week,hafta
company,şirket
system,sistem
program,program
question,soru
work,iş
government,devlet
number,numara
night,gece
point,puan
home,ev
water,su
room,oda
mother,anne
area,alan
money,para
story,hikaye
fact,hakikat
month,ay
lot,bir sürü
right,dogru
study,çalışmak
book,kitap
eye,goz
job,iş
word,kelime
business,işletme
issue,sorun
side,taraf
kind,tür
head,kafa
house,ev
service,servis
friend,arkadas
father,baba
power,guc
hour,saat
game,oyun
line,çizgi
end,son
member,üye
law,kanun
car,araba
city,sehir
community,toplum
name,isim
president,başkan
team,takım
minute,dakika
idea,fikir
kid,cocuk
body,vücut
information,bilgi
back,arka
parent,ebeveyn
face,yüz
others,diğerleri
level,seviye
office,ofis
door,kapi
health,saglik
person,kişi
art,sanat
war,savaş
history,tarih
party,parti
result,sonuç
change,değiştir
morning,sabah
reason,sebep
research,araştırma
girl,kiz
guy,oğlan
moment,an
air,hava
teacher,Öğretmen
force,güç
education,eğitim